"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"84293",445.180578269894,-2.67738920015968,0.109957144982004,-24.349388123872,5.88448080225406e-131,1.28022764333839e-126
"57530",602.739891802156,-4.42187807477922,0.195132372238656,-22.6609148653769,1.08894930944888e-113,1.18455905881849e-109
"4973",580.742464792168,-3.69086673774804,0.203717146621721,-18.1176047227951,2.31454302013096e-73,1.67850659819897e-69
"5493",726.294228657152,-4.51825888623323,0.25024792385195,-18.0551303550726,7.18920121501742e-73,3.91020654084797e-69
"3914",588.846179348519,-2.80788673211002,0.160405415463119,-17.5049372491767,1.3137172241801e-68,5.71624638585244e-65
"7477",228.21743028487,-3.38947109182627,0.195261602455735,-17.3586155659797,1.6976791575634e-67,6.1557846253249e-64
"144100",229.333753275359,-3.70818550706943,0.225587032772561,-16.4379373295276,1.02343358734958e-60,3.18083158948249e-57
"5420",124.654731456797,-4.74091325708633,0.299987418980456,-15.8037069461076,2.93347616773268e-56,7.97758843814902e-53
"55841",368.484188165304,-2.17478869082445,0.139406533415106,-15.6003354903652,7.24125875012113e-55,1.75045361519595e-51
"30846",164.749858193614,-2.39907457636909,0.156085955011268,-15.3702142911956,2.59310075612107e-53,5.64155000501701e-50
"51361",107.101549969631,-3.72764344515888,0.251477834385684,-14.8229503179271,1.0410948207121e-49,2.05909626540112e-46
"1266",630.811589267194,-2.92850348525445,0.197811219513287,-14.8045368329461,1.36926957135147e-49,2.48248573286022e-46
"1303",1018.64453503524,-1.88877595171449,0.127802663119796,-14.7788465874459,2.00571560474647e-49,3.3566422074511e-46
"26031",248.297288857582,-2.04575062054731,0.138741810922327,-14.7450188731687,3.31227192606804e-49,5.14727057310974e-46
"2263",196.201399739229,-2.58249189124399,0.175249417531828,-14.7360940059899,3.78025648023491e-49,5.48288399893271e-46
"4854",263.894822393482,-2.40632870368256,0.164939963841464,-14.5891186565038,3.29425883392961e-48,4.47936844943579e-45
"8853",183.441812568707,-3.86643599221778,0.267562436379327,-14.4505934560122,2.48535155399462e-47,3.18066520051217e-44
"8871",408.503778593612,-1.58971892761389,0.110322155137315,-14.4097885473249,4.49083190315291e-47,5.42791882694416e-44
"143662",646.122527557593,-1.18492877460178,0.0826214294781718,-14.3416639252754,1.2014003932942e-46,1.3756666819215e-43
"647024",137.544460840843,-4.3790328071585,0.306532345199519,-14.2857120161601,2.68649605800627e-46,2.92237041189922e-43
"8527",276.477628192897,-2.6101245114985,0.183566472392801,-14.2189609980262,6.98827846504376e-46,7.23985648978533e-43
"2152",174.068231078441,-2.57415795460391,0.184013523354759,-13.9889607441579,1.82052784904938e-44,1.8003365401781e-41
"2548",13567.9308740233,0.853288962488065,0.0615795945379243,13.8566836772944,1.15906853297072e-43,1.09637804362222e-40
"9620",430.286037106811,-2.07455717884538,0.150078927048281,-13.8231077450199,1.84911181972406e-43,1.67621986457986e-40
"55243",99.9554118542161,-5.40407471101342,0.392959287039123,-13.7522509055128,4.93692793159269e-43,4.29631216318923e-40
"91862",185.446131466458,-4.03187510468191,0.293375883322972,-13.7430352454816,5.60747370478531e-43,4.6921614585119e-40
"23303",279.465270246403,-2.08367547062001,0.152429934065506,-13.6697262476316,1.53973342822162e-42,1.24068298016258e-39
"143098",552.454721156733,-1.11813182476251,0.0821027369051062,-13.6186912508756,3.10074599230711e-42,2.40927963602262e-39
"4041",275.873517638911,-3.63090299143548,0.266829135756818,-13.6075956665564,3.60923198206572e-42,2.70767072420075e-39
"4070",285.828105226785,-3.72295186079668,0.27503572064662,-13.5362484990818,9.55452238385387e-42,6.92893963277082e-39
"199731",90.0303827620756,-4.13406248255291,0.306235866382187,-13.4996025494725,1.57222017056295e-41,1.10339425905702e-38
"2242",2047.97590210032,1.32392355652146,0.0991684482086556,13.3502498066306,1.1805237228374e-40,8.02608566064081e-38
"5205",362.679596082243,-2.61629511969093,0.197829836791136,-13.224977395362,6.29561590526831e-40,4.1505278677278e-37
"106821730",173.921625746216,-1.86102776620562,0.143245215024574,-12.9919017950188,1.36004879936233e-38,8.70271225850787e-36
"29785",84.8954238745463,-2.80682973810939,0.216781167821912,-12.9477563310076,2.41921738969243e-38,1.50378552943282e-35
"652995",2726.66645893227,-0.956292227286631,0.0739345845613331,-12.9343017609483,2.88229744251797e-38,1.74186842109503e-35
"56924",169.430735480502,-1.83916100030604,0.143576079021548,-12.8096616987988,1.44764315872751e-37,8.51214177331776e-35
"65010",2506.69908320167,0.809249245920865,0.0632245573081929,12.7996031981073,1.64791106449583e-37,9.43472450504507e-35
"23406",24263.4140795444,0.84920458904409,0.0664993881133422,12.7701113218771,2.40809812397605e-37,1.34334827654418e-34
"57462",224.715202235944,-3.0771852415926,0.244279236968403,-12.596998745295,2.19332623334261e-36,1.19295013831505e-33
"1525",274.515893455604,-1.51997956401608,0.12123440290613,-12.5375267051299,4.65291621729332e-36,2.46899622496179e-33
"79085",219.32633839729,-1.64873875964864,0.13189355746223,-12.5005253582669,7.41595703710036e-36,3.84146574521798e-33
"56894",219.400324682654,-2.56968181887383,0.206175651919366,-12.4635561714087,1.17989420429338e-35,5.96971588572248e-33
"7867",296.544570812695,-1.68073561981995,0.134894132697478,-12.459664376873,1.23890906748807e-35,6.12584219824329e-33
"6545",145.867832778314,-3.32468241667015,0.267413962526846,-12.4327181170893,1.73628442358468e-35,8.39435642655739e-33
"7345",125.421669435354,-4.52053452971867,0.365881654911559,-12.3551822537027,4.56719902252671e-35,2.16008656378459e-32
"3983",168.205941740861,-3.58345453479435,0.290743286415903,-12.3251497187394,6.632019372928e-35,3.06991943568982e-32
"120071",96.6645606115871,-4.20259282784537,0.341233175157235,-12.3158975557077,7.4382990790032e-35,3.3714090575582e-32
