MCODE::Clusters (1),MCODE::Node Status (1),MCODE::Score (1),name,selected,shared name
Cluster 3,Clustered,6,E2F2,FALSE,E2F2
Cluster 1,Clustered,19.34482759,NEK2,TRUE,NEK2
Cluster 3,Clustered,5,NES,FALSE,NES
Cluster 1,Clustered,19.34482759,MKI67,TRUE,MKI67
,Unclustered,3,FMR1,FALSE,FMR1
,Unclustered,1.666666667,CTH,FALSE,CTH
Cluster 4,Clustered,3.209486166,JUN,FALSE,JUN
Cluster 1,Clustered,19.61111111,CDC20,TRUE,CDC20
,Unclustered,4.761904762,YBX1,FALSE,YBX1
,Unclustered,3.428571429,LPAR1,FALSE,LPAR1
,Unclustered,3.090909091,PIK3CD,FALSE,PIK3CD
,Unclustered,1.666666667,NEDD9,FALSE,NEDD9
Cluster 3,Clustered,6,ETS1,FALSE,ETS1
,Unclustered,3,NFATC2,FALSE,NFATC2
,Unclustered,3.466666667,CARD11,FALSE,CARD11
,Unclustered,4,MYCL,FALSE,MYCL
,Unclustered,2.7,TMPRSS2,FALSE,TMPRSS2
,Unclustered,1.928571429,NEDD4L,FALSE,NEDD4L
,Unclustered,0.666666667,MAPK4,FALSE,MAPK4
Cluster 4,Clustered,3.238095238,LTBP1,FALSE,LTBP1
,Unclustered,4.761904762,MITF,FALSE,MITF
Cluster 3,Clustered,6,CCN1,FALSE,CCN1
Cluster 14,Clustered,2.888888889,ARRB2,FALSE,ARRB2
Cluster 14,Clustered,3.181818182,ARRB1,FALSE,ARRB1
Cluster 1,Clustered,19.34482759,TOP2A,TRUE,TOP2A
,Unclustered,3.888888889,MME,FALSE,MME
,Unclustered,3,PTPRK,FALSE,PTPRK
,Unclustered,0.4,FHL1,FALSE,FHL1
Cluster 8,Clustered,2.857142857,SIRPA,FALSE,SIRPA
,Unclustered,3,PAK6,FALSE,PAK6
Cluster 3,Clustered,5,CD24,FALSE,CD24
,Unclustered,2,ARHGAP35,FALSE,ARHGAP35
Cluster 5,Clustered,5,PLCG2,FALSE,PLCG2
,Unclustered,1.666666667,PHLPP2,FALSE,PHLPP2
,Unclustered,2,ALPP,FALSE,ALPP
Cluster 5,Clustered,4,SALL4,FALSE,SALL4
