"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"84293",445.180578269894,2.6773892948965,0.109957145291908,24.3493889168249,5.88436699528765e-131,1.28020288349478e-126
"57530",602.739891802156,4.42187835690277,0.195132372684103,22.6609162594526,1.08891484222757e-113,1.18452156537515e-109
"4973",580.742464792168,3.69086706848731,0.203717146914525,18.1176063202766,2.31447582949917e-73,1.6784578715528e-69
"5493",726.294228657152,4.51825937918361,0.250247924126069,18.0551323051432,7.18894732470509e-73,3.9100684499071e-69
"3914",588.846179348519,2.80788694931627,0.160405415667306,17.5049385810019,1.31368649786183e-68,5.71611268949639e-65
"7477",228.21743028487,3.38947133856683,0.195261603031857,17.3586167784039,1.697643310775e-67,6.15565464487015e-64
"144100",229.333753275359,3.70818582940621,0.225587033245607,16.4379387239378,1.02341004307893e-60,3.18075841388933e-57
"5420",124.654731456797,4.74091362068332,0.299987417540859,15.8037082339882,2.93341622528184e-56,7.97742542465396e-53
"55841",368.484188165304,2.17478884580243,0.139406533634078,15.6003365775591,7.24113543456249e-55,1.75042380571491e-51
"30846",164.749858193614,2.39907473490253,0.156085955596972,15.3702152492,2.59306241340161e-53,5.64146658659655e-50
"51361",107.101549969631,3.72764374871376,0.25147783490949,14.8229514941362,1.04107658762222e-49,2.05906020366445e-46
"1266",630.811589267194,2.92850381925375,0.197811219702831,14.8045385072354,1.36923547811053e-49,2.48242392181439e-46
"1303",1018.64453503524,1.88877610937648,0.127802663204712,14.7788478112625,2.00567916389899e-49,3.35658122229127e-46
"26031",248.297288857582,2.04575076293978,0.138741811233715,14.745019866388,3.31222319697074e-49,5.14719484809252e-46
"2263",196.201399739229,2.58249209897675,0.175249417983558,14.7360951533605,3.78019227342043e-49,5.482790873369e-46
"4854",263.894822393482,2.40632890417922,0.164939964162414,14.5891198436889,3.29420151230743e-48,4.47929050636003e-45
"8853",183.441812568707,3.86643641602297,0.267562436497635,14.4505950335714,2.48529462812879e-47,3.18059234879823e-44
"8871",408.503778593612,1.58971902927993,0.110322155299022,14.4097894477414,4.49077335786066e-47,5.42784806520092e-44
"143662",646.122527557593,1.18492883706724,0.0826214295771197,14.3416646641441,1.20138760128814e-46,1.3756520344013e-43
"647024",137.544460840843,4.37903326918591,0.306532344131218,14.2857135732188,2.68643601107137e-46,2.92230509284343e-43
"8527",276.477628192897,2.61012475977483,0.183566472698696,14.2189623268464,6.98814577989922e-46,7.23971902797559e-43
"2152",174.068231078441,2.57415817777018,0.184013523833622,13.9889619205251,1.82049773884161e-44,1.80030676391991e-41
"2548",13567.9308740233,-0.853288910676755,0.0615795945749248,-13.8566828275972,1.15908225026151e-43,1.0963910189865e-40
